"Series","Citigroup 3y 1d"
"Signal","CGO"
"Generations","1000"
"Ending","max generations were reached"
"Best Strategy","1111100000101101111110010100110111000011101110101111011110110111	","Accuracy","0.593333333333"
"Unique Strats","9474"
"0","0.500122","0.553333333333","0.450666666667"
"1","0.505513066667","0.553333333333","0.450666666667"
"2","0.509157466667","0.556","0.453333333333"
"3","0.511806","0.556","0.458666666667"
"4","0.513987466667","0.56","0.464"
"5","0.515573333333","0.56","0.461333333333"
"6","0.5170432","0.56","0.46"
"7","0.518162533333","0.564","0.465333333333"
"8","0.519120666667","0.564","0.461333333333"
"9","0.519887866667","0.564","0.461333333333"
"10","0.520878933333","0.573333333333","0.458666666667"
"11","0.521689866667","0.573333333333","0.465333333333"
"12","0.522278","0.573333333333","0.452"
"13","0.523240133333","0.573333333333","0.469333333333"
"14","0.523774266667","0.573333333333","0.466666666667"
"15","0.5245364","0.573333333333","0.468"
"16","0.525219466667","0.573333333333","0.464"
"17","0.525813466667","0.573333333333","0.469333333333"
"18","0.526392666667","0.573333333333","0.472"
"19","0.526882933333","0.573333333333","0.474666666667"
"20","0.527512933333","0.573333333333","0.466666666667"
"21","0.528034133333","0.573333333333","0.473333333333"
"22","0.528277333333","0.573333333333","0.470666666667"
"23","0.528640533333","0.573333333333","0.477333333333"
"24","0.529079066667","0.574666666667","0.466666666667"
"25","0.529521333333","0.574666666667","0.468"
"26","0.529939733333","0.574666666667","0.472"
"27","0.530242933333","0.574666666667","0.466666666667"
"28","0.530625466667","0.574666666667","0.48"
"29","0.530885466667","0.574666666667","0.476"
"30","0.531331466667","0.574666666667","0.470666666667"
"31","0.5318264","0.578666666667","0.474666666667"
"32","0.531815866667","0.578666666667","0.477333333333"
"33","0.532038","0.578666666667","0.472"
"34","0.5322884","0.578666666667","0.48"
"35","0.53243","0.578666666667","0.477333333333"
"36","0.5326476","0.578666666667","0.481333333333"
"37","0.5330484","0.58","0.477333333333"
"38","0.533190266667","0.58","0.477333333333"
"39","0.533672133333","0.58","0.477333333333"
"40","0.533737733333","0.58","0.478666666667"
"41","0.534226","0.58","0.481333333333"
"42","0.534826","0.58","0.481333333333"
"43","0.5348792","0.58","0.477333333333"
"44","0.534747866667","0.58","0.474666666667"
"45","0.535096666667","0.58","0.476"
"46","0.535283733333","0.58","0.474666666667"
"47","0.535677866667","0.58","0.476"
"48","0.535811733333","0.58","0.476"
"49","0.5360736","0.58","0.485333333333"
"50","0.53619","0.581333333333","0.477333333333"
"51","0.536396666667","0.581333333333","0.481333333333"
"52","0.536639066667","0.581333333333","0.470666666667"
"53","0.536723733333","0.581333333333","0.482666666667"
"54","0.537108266667","0.581333333333","0.482666666667"
"55","0.5373904","0.581333333333","0.474666666667"
"56","0.537579866667","0.581333333333","0.484"
"57","0.537860133333","0.581333333333","0.478666666667"
"58","0.537920133333","0.581333333333","0.482666666667"
"59","0.5379492","0.581333333333","0.484"
"60","0.5380644","0.581333333333","0.485333333333"
"61","0.538371866667","0.585333333333","0.486666666667"
"62","0.5385484","0.585333333333","0.478666666667"
"63","0.539085333333","0.585333333333","0.486666666667"
"64","0.539278533333","0.585333333333","0.484"
"65","0.539411733333","0.585333333333","0.48"
"66","0.539446","0.585333333333","0.478666666667"
"67","0.539421866667","0.585333333333","0.477333333333"
"68","0.539540666667","0.585333333333","0.484"
"69","0.5397116","0.585333333333","0.48"
"70","0.539860266667","0.585333333333","0.486666666667"
"71","0.5399768","0.585333333333","0.484"
"72","0.540198266667","0.585333333333","0.488"
"73","0.5406252","0.585333333333","0.481333333333"
"74","0.540706666667","0.585333333333","0.482666666667"
"75","0.540790133333","0.585333333333","0.485333333333"
"76","0.540941066667","0.585333333333","0.486666666667"
"77","0.540916133333","0.585333333333","0.488"
"78","0.541194666667","0.585333333333","0.481333333333"
"79","0.541396","0.585333333333","0.484"
"80","0.541306933333","0.585333333333","0.482666666667"
"81","0.5415948","0.585333333333","0.485333333333"
"82","0.5417684","0.585333333333","0.484"
"83","0.542038933333","0.585333333333","0.489333333333"
"84","0.5419408","0.585333333333","0.482666666667"
"85","0.541960133333","0.585333333333","0.485333333333"
"86","0.542192","0.585333333333","0.477333333333"
"87","0.5424104","0.585333333333","0.490666666667"
"88","0.542543466667","0.585333333333","0.489333333333"
"89","0.542776","0.585333333333","0.486666666667"
"90","0.542859333333","0.585333333333","0.485333333333"
"91","0.542820133333","0.585333333333","0.485333333333"
"92","0.542948533333","0.585333333333","0.473333333333"
"93","0.542974933333","0.585333333333","0.492"
"94","0.5433068","0.585333333333","0.493333333333"
"95","0.543293333333","0.585333333333","0.484"
"96","0.5433948","0.585333333333","0.484"
"97","0.543475866667","0.585333333333","0.490666666667"
"98","0.5437624","0.585333333333","0.488"
"99","0.5436484","0.585333333333","0.488"
"100","0.543670133333","0.585333333333","0.482666666667"
"101","0.544023333333","0.585333333333","0.488"
"102","0.543967333333","0.585333333333","0.482666666667"
"103","0.543974933333","0.585333333333","0.485333333333"
"104","0.543897866667","0.586666666667","0.486666666667"
"105","0.544038533333","0.586666666667","0.489333333333"
"106","0.5443188","0.586666666667","0.486666666667"
"107","0.544377466667","0.586666666667","0.485333333333"
"108","0.544580666667","0.586666666667","0.490666666667"
"109","0.5446348","0.586666666667","0.481333333333"
"110","0.545027866667","0.586666666667","0.488"
"111","0.5450964","0.586666666667","0.490666666667"
"112","0.545099466667","0.586666666667","0.490666666667"
"113","0.545505733333","0.586666666667","0.488"
"114","0.5457088","0.586666666667","0.493333333333"
"115","0.545862266667","0.586666666667","0.496"
"116","0.545869333333","0.586666666667","0.488"
"117","0.5458016","0.586666666667","0.492"
"118","0.545938","0.586666666667","0.486666666667"
"119","0.545869333333","0.586666666667","0.489333333333"
"120","0.5460132","0.586666666667","0.486666666667"
"121","0.545932","0.586666666667","0.496"
"122","0.546322666667","0.586666666667","0.485333333333"
"123","0.546284933333","0.586666666667","0.485333333333"
"124","0.546489466667","0.586666666667","0.493333333333"
"125","0.5464776","0.586666666667","0.494666666667"
"126","0.5466488","0.586666666667","0.488"
"127","0.546773333333","0.586666666667","0.492"
"128","0.546714533333","0.586666666667","0.476"
"129","0.546746133333","0.586666666667","0.493333333333"
"130","0.546768933333","0.586666666667","0.482666666667"
"131","0.5470408","0.586666666667","0.493333333333"
"132","0.5469532","0.586666666667","0.48"
"133","0.547091466667","0.586666666667","0.489333333333"
"134","0.547224933333","0.586666666667","0.489333333333"
"135","0.547251333333","0.586666666667","0.492"
"136","0.547420266667","0.586666666667","0.496"
"137","0.547608533333","0.586666666667","0.489333333333"
"138","0.547530933333","0.588","0.496"
"139","0.547602933333","0.588","0.496"
"140","0.547408266667","0.588","0.490666666667"
"141","0.547738","0.588","0.492"
"142","0.547612933333","0.588","0.493333333333"
"143","0.5477112","0.588","0.492"
"144","0.547832","0.588","0.489333333333"
"145","0.548135066667","0.588","0.493333333333"
"146","0.548076666667","0.588","0.494666666667"
"147","0.548238","0.588","0.493333333333"
"148","0.548117733333","0.588","0.492"
"149","0.5481736","0.588","0.493333333333"
"150","0.548413466667","0.588","0.490666666667"
"151","0.5484532","0.588","0.496"
"152","0.54843","0.588","0.482666666667"
"153","0.5489676","0.588","0.492"
"154","0.548953466667","0.588","0.493333333333"
"155","0.5489364","0.588","0.492"
"156","0.54891","0.588","0.494666666667"
"157","0.548732266667","0.588","0.496"
