"Series","Citigroup 3y 1d"
"Signal","OLMI"
"Generations","1000"
"Ending","max generations were reached"
"Best Strategy","1100001010101110000000001000000000100000100000001100000010000000	","Accuracy","0.818424566088"
"Unique Strats","9975"
"0","0.499662216288","0.771695594126","0.245660881175"
"1","0.557219626168","0.771695594126","0.240320427236"
"2","0.599920160214","0.774365821095","0.285714285714"
"3","0.628510280374","0.781041388518","0.333778371162"
"4","0.647711748999","0.795727636849","0.336448598131"
"5","0.661505607477","0.795727636849","0.311081441923"
"6","0.672667957276","0.795727636849","0.357810413885"
"7","0.680653538051","0.795727636849","0.344459279039"
"8","0.685897863818","0.798397863818","0.320427236315"
"9","0.690090253672","0.798397863818","0.37917222964"
"10","0.69406728972","0.801068090788","0.393858477971"
"11","0.695910013351","0.801068090788","0.395193591455"
"12","0.69821588785","0.806408544726","0.380507343124"
"13","0.700296795728","0.806408544726","0.391188251001"
"14","0.701812283044","0.806408544726","0.351134846462"
"15","0.702999332443","0.806408544726","0.365821094793"
"16","0.704347263017","0.806408544726","0.39652870494"
"17","0.705425634179","0.806408544726","0.384512683578"
"18","0.706236582109","0.806408544726","0.357810413885"
"19","0.705953004005","0.806408544726","0.388518024032"
"20","0.706677303071","0.806408544726","0.397863818425"
"21","0.708114152203","0.806408544726","0.377837116155"
"22","0.709992256342","0.806408544726","0.353805073431"
"23","0.710184779706","0.806408544726","0.385847797063"
"24","0.710083444593","0.806408544726","0.35914552737"
"25","0.711792656876","0.806408544726","0.387182910547"
"26","0.711974098798","0.81041388518","0.367156208278"
"27","0.712339118825","0.81041388518","0.373831775701"
"28","0.713336448598","0.81041388518","0.373831775701"
"29","0.714106542056","0.81041388518","0.401869158879"
"30","0.71469305741","0.81041388518","0.375166889186"
"31","0.715969158879","0.81041388518","0.392523364486"
"32","0.715552336449","0.81041388518","0.397863818425"
"33","0.715975033378","0.81041388518","0.377837116155"
"34","0.715965153538","0.81041388518","0.400534045394"
"35","0.716206408545","0.81041388518","0.403204272363"
"36","0.717977436582","0.81041388518","0.332443257677"
"37","0.718307209613","0.81041388518","0.401869158879"
"38","0.719376635514","0.81041388518","0.387182910547"
"39","0.718367690254","0.81041388518","0.368491321762"
"40","0.718368758344","0.81041388518","0.395193591455"
"41","0.718579839786","0.811748998665","0.355140186916"
"42","0.718935781041","0.811748998665","0.373831775701"
"43","0.71985941255","0.811748998665","0.407209612817"
"44","0.720524165554","0.811748998665","0.420560747664"
"45","0.72112376502","0.811748998665","0.392523364486"
"46","0.720617222964","0.81308411215","0.327102803738"
"47","0.721020427236","0.81308411215","0.347129506008"
"48","0.721325500668","0.81308411215","0.373831775701"
"49","0.721707610147","0.81308411215","0.404539385848"
"50","0.72200493992","0.81308411215","0.41655540721"
"51","0.72273564753","0.81308411215","0.39652870494"
"52","0.724063551402","0.81308411215","0.41388518024"
"53","0.724243257677","0.81308411215","0.409879839786"
"54","0.723481575434","0.81308411215","0.392523364486"
"55","0.724179973298","0.81308411215","0.365821094793"
"56","0.72402176235","0.81308411215","0.419225634179"
"57","0.723903070761","0.81308411215","0.408544726302"
"58","0.724637249666","0.81308411215","0.37917222964"
"59","0.724781441923","0.81308411215","0.409879839786"
"60","0.725371028037","0.81308411215","0.399198931909"
"61","0.725584779706","0.81308411215","0.397863818425"
"62","0.72536034713","0.81308411215","0.367156208278"
"63","0.725028838451","0.81308411215","0.381842456609"
"64","0.725003204272","0.81308411215","0.364485981308"
"65","0.725444459279","0.81308411215","0.393858477971"
"66","0.725512149533","0.81308411215","0.360480640854"
"67","0.725542723632","0.81308411215","0.431241655541"
"68","0.726834312417","0.81308411215","0.399198931909"
"69","0.725981975968","0.81308411215","0.392523364486"
"70","0.726942323097","0.81308411215","0.401869158879"
"71","0.727552336449","0.81308411215","0.385847797063"
"72","0.728071962617","0.81308411215","0.425901201602"
"73","0.728994392523","0.81308411215","0.409879839786"
"74","0.728455674232","0.81308411215","0.392523364486"
"75","0.728103871829","0.81308411215","0.331108144192"
"76","0.728369158879","0.81308411215","0.439252336449"
"77","0.729237516689","0.81308411215","0.423230974633"
"78","0.729249399199","0.81308411215","0.411214953271"
"79","0.729583311081","0.81308411215","0.393858477971"
"80","0.729035514019","0.81308411215","0.41388518024"
"81","0.729410280374","0.81308411215","0.417890520694"
"82","0.730176368491","0.81308411215","0.401869158879"
"83","0.729669158879","0.81308411215","0.427236315087"
"84","0.73071481976","0.81308411215","0.391188251001"
"85","0.729825100134","0.81308411215","0.431241655541"
"86","0.73046835781","0.81308411215","0.432576769025"
