"Series","Fast Retailing Co 3y 1d"
"Signal","CGO"
"Generations","1000"
"Ending","max generations were reached"
"Best Strategy","0111000110110000101000011100111110101101100100010111110010111000	","Accuracy","0.620027434842"
"Unique Strats","9508"
"0","0.500114677641","0.573388203018","0.429355281207"
"1","0.507489300412","0.578875171468","0.443072702332"
"2","0.512133058985","0.578875171468","0.43072702332"
"3","0.515733607682","0.578875171468","0.444444444444"
"4","0.518335253772","0.578875171468","0.447187928669"
"5","0.520489026063","0.581618655693","0.447187928669"
"6","0.522498353909","0.587105624143","0.448559670782"
"7","0.524299176955","0.592592592593","0.448559670782"
"8","0.525909739369","0.592592592593","0.449931412894"
"9","0.527039368999","0.592592592593","0.444444444444"
"10","0.52816515775","0.593964334705","0.455418381344"
"11","0.52920877915","0.593964334705","0.459533607682"
"12","0.530482716049","0.593964334705","0.466392318244"
"13","0.531721399177","0.593964334705","0.448559670782"
"14","0.532674622771","0.593964334705","0.466392318244"
"15","0.533455555556","0.593964334705","0.458161865569"
"16","0.534189711934","0.593964334705","0.465020576132"
"17","0.534823868313","0.593964334705","0.467764060357"
"18","0.535474759945","0.593964334705","0.462277091907"
"19","0.536067489712","0.593964334705","0.463648834019"
"20","0.536512894376","0.593964334705","0.441700960219"
"21","0.537268587106","0.599451303155","0.459533607682"
"22","0.537891906722","0.599451303155","0.448559670782"
"23","0.53843127572","0.599451303155","0.463648834019"
"24","0.539151851852","0.599451303155","0.465020576132"
"25","0.53945994513","0.599451303155","0.469135802469"
"26","0.539579423868","0.599451303155","0.469135802469"
"27","0.540376268861","0.599451303155","0.467764060357"
"28","0.540864471879","0.599451303155","0.466392318244"
"29","0.541582167353","0.599451303155","0.465020576132"
"30","0.54178175583","0.599451303155","0.459533607682"
"31","0.542548148148","0.599451303155","0.469135802469"
"32","0.542803017833","0.599451303155","0.465020576132"
"33","0.542946227709","0.599451303155","0.470507544582"
"34","0.543534293553","0.599451303155","0.460905349794"
"35","0.543692043896","0.599451303155","0.471879286694"
"36","0.544058161866","0.600823045267","0.470507544582"
"37","0.544637174211","0.600823045267","0.473251028807"
"38","0.544930452675","0.600823045267","0.474622770919"
"39","0.545212894376","0.60219478738","0.471879286694"
"40","0.545309053498","0.60219478738","0.470507544582"
"41","0.545973113855","0.60219478738","0.459533607682"
"42","0.5465478738","0.60219478738","0.470507544582"
"43","0.546692043896","0.60219478738","0.463648834019"
"44","0.547222496571","0.60219478738","0.478737997257"
"45","0.547287379973","0.60219478738","0.480109739369"
"46","0.547635528121","0.60219478738","0.462277091907"
"47","0.5478478738","0.60219478738","0.473251028807"
"48","0.547883539095","0.606310013717","0.470507544582"
"49","0.548298765432","0.606310013717","0.478737997257"
"50","0.548525651578","0.606310013717","0.465020576132"
"51","0.54857914952","0.606310013717","0.462277091907"
"52","0.54882085048","0.606310013717","0.470507544582"
"53","0.549177091907","0.606310013717","0.475994513032"
"54","0.549475857339","0.606310013717","0.480109739369"
"55","0.549636762689","0.606310013717","0.478737997257"
"56","0.549779972565","0.606310013717","0.467764060357"
"57","0.549955144033","0.606310013717","0.463648834019"
"58","0.550341289438","0.606310013717","0.474622770919"
"59","0.550446502058","0.606310013717","0.473251028807"
"60","0.550672839506","0.606310013717","0.469135802469"
"61","0.551096296296","0.60768175583","0.475994513032"
"62","0.551317146776","0.60768175583","0.473251028807"
"63","0.551455829904","0.60768175583","0.474622770919"
"64","0.551612482853","0.60768175583","0.478737997257"
"65","0.552230864198","0.60768175583","0.456790123457"
"66","0.552088203018","0.60768175583","0.469135802469"
"67","0.55234005487","0.60768175583","0.478737997257"
"68","0.552703840878","0.60768175583","0.467764060357"
"69","0.552907956104","0.60768175583","0.471879286694"
"70","0.552962962963","0.60768175583","0.478737997257"
"71","0.553516460905","0.60768175583","0.486968449931"
"72","0.553530727023","0.60768175583","0.481481481481"
"73","0.55335473251","0.60768175583","0.481481481481"
